host_genus_species	host_genus	host_sp	host_subsp	host_status_2021	host_order	host_fam	host_continent	zoo_loc2	same_continent	zoo_type	vaccine	v_class	v_fam	v_sp	v_strain	sample_size	sample_size_class	positive_sample	host_pop	collection_year_range	collection_firstyear	collection_lastyear	number_faciliti	blodd_collection	paper_ID	pub_year	paper_per_year	reviewer	issue	search
Acinonyx jubatus	Acinonyx	jubatus		VU	Carnivora	Felidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		1	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Addax nasomaculatus	Addax	nasomaculatus		CR	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		5	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Aepyceros melampus	Aepyceros	melampus		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		3	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Alces alces	Alces	alces		LC	Cetartiodactyla	Cervidae	Europe, Asia	Europe	yes	zoo	no	IV	Flaviviridae	tick born encephalitis		1	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Ammotragus lervia	Ammotragus	lervia		VU	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		6	<=10	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Antidorcas marsupialis	Antidorcas	marsupialis		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		1	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Bison Bison	Bison	bison		NT	Cetartiodactyla	Bovidae	North America	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		1	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Canis lupusÊ	Canis	lupus		LC	Carnivora	Canidae	North America, Asia, Europe	Europe	yes	zoo	no	IV	Flaviviridae	tick born encephalitis		4	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Capra aegagrus hircus	Capra	aegagrus	hircus	NT	Cetartiodactyla	Bovidae	Asia	Europe	yes	zoo	no	IV	Flaviviridae	tick born encephalitis		1	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Equus quagga	Equus	quagga		NT	Perissodactyla	Equidae	Africa	Europe	no			I	Herpesviridae	equine herpesvirus	1	22	<=50	13	wild	2015-2016	2015	2016			Seeber et al, 2020	2020	4	PVL	ok	2022
Equus quagga	Equus	quagga		NT	Perissodactyla	Equidae	Africa	Europe	no			I	Herpesviridae	equine herpesvirus	9	22	<=50	12	wild	2015-2016	2015	2016			Seeber et al, 2020	2020	4	PVL	ok	2022
Capra aegagrus hircus	Capra	aegagrus	hircus	NT	Cetartiodactyla	Bovidae	Asia	Europe	yes	zoo	no	IV	Flaviviridae	tick born encephalitis		1	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Capra caucasica	Capra	caucasica		EN	Cetartiodactyla	Bovidae	Europe, Asia	Europe	yes	zoo	no	IV	Flaviviridae	tick born encephalitis		1	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Capra falconeri	Capra	falconeri		NT	Cetartiodactyla	Bovidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		1	<=5	1	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Cervus canadensis	Cervus	canadensis		LC	Cetartiodactyla	Cervidae	"Europe; Asia; North America"	Europe	yes	zoo	no	IV	Flaviviridae	tick born encephalitis		2	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Colobus angolensis	Colobus	angolensis		VU	Primates	Cercopithecidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		1	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Connochaetes gnou	Connochaetes	gnou		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		3	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Crocuta crocuta	Crocuta	crocuta		LC	Carnivora	Hyaenidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		1	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Damaliscus pygargus	Damaliscus	pygargus	phillipsi	LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		1	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Diceros bicornis	Diceros	bicornis		CR	Perissodactyla	Rhinocerotidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		7	<=10	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Equus africanus somaliensis	Equus	africanus	somaliensis	CR	Perissodactyla	Equidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		1	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Equus ferus caballus	Equus	ferus	caballus	EN	Perissodactyla	Equidae	Europe	Europe	yes	zoo	no	IV	Flaviviridae	tick born encephalitis		3	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Equus ferus caballus	Equus	ferus	caballus	EN	Perissodactyla	Equidae	Europe	Europe	yes	zoo	no	IV	Flaviviridae	tick born encephalitis		2	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Equus ferus caballus	Equus	ferus	caballus	EN	Perissodactyla	Equidae	Europe	Europe	yes	zoo	no	IV	Flaviviridae	tick born encephalitis		2	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Equus ferus ferus	Equus	ferus	ferus	EN	Perissodactyla	Equidae	Europe	Europe	yes	zoo	no	IV	Flaviviridae	tick born encephalitis		2	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Equus quagga boehmi	Equus	quagga	boehmi	NT	Perissodactyla	Equidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		6	<=10	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Equus quagga borensis	Equus	quagga	borensis	NT	Perissodactyla	Equidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		1	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Equus quagga burchellii	Equus	quagga	burchellii	EW	Perissodactyla	Equidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		1	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Equus zebra hartmannae	Equus	zebra	hartmannae	VU	Perissodactyla	Equidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		5	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Eudorcas thomsonii	Eudorcas	thomsonii		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		2	<=5	1	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Giraffa camelopardalis rothschieldii	Giraffa	camelopardalis	rothschieldii	VU	Cetartiodactyla	Giraffidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		2	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Giraffa camelopardalis reticulata	Giraffa	camelopardalis	reticulata	VU	Cetartiodactyla	Giraffidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		1	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Hippotragus equinus	Hippotragus	equinus		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		1	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Hippotragus niger	Hippotragus	niger		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		3	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Hylobates lar	Hylobates	lar		EN	Primates	Hylobatidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		1	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Kobus ellipsiprymnus	Kobus	ellipsiprymnus		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		4	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Kobus ellipsiprymnus	Kobus	ellipsiprymnus		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		1	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Kobus leche	Kobus	leche		NT	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		1	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Leptailurus serval	Leptailurus	serval		LC	Carnivora	Felidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		1	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Lupulella mesomelas	Lupulella	mesomelas		LC	Carnivora	Canidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		1	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Lycaon pictus	Lycaon	pictus		EN	Carnivora	Canidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		2	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Naemorhedus caudatus	Naemorhedus	caudatus		VU	Cetartiodactyla	Bovidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		2	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Nanger dama	Nanger	dama		CR	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		5	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Oreamnos americanus	Oreamnos	americanus		LC	Cetartiodactyla	Bovidae	North America	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		2	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Oryx dammah	Oryx	dammah		EW	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		5	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Bos primigenius taurus	Bos	primigenius	taurus	NA	Cetartiodactyla	Bovidae	Europe	Europe	yes			IV	Flaviviridae	tick born encephalitis		1	<=5	0	domestic	2013	2013	2013			Sirmarova et al, 2014	2014	2	SF	ok	2022
Bos primigenius taurus	Bos	primigenius	taurus	NA	Cetartiodactyla	Bovidae	Africa	Europe	no			IV	Flaviviridae	tick born encephalitis		1	<=5	0	domestic	2013	2013	2013			Sirmarova et al, 2014	2014	2	SF	ok	2022
Oryx gazella	Oryx	gazella		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		2	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Panthera leo	Panthera	leo		VU	Carnivora	Felidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		1	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Panthera leo persica	Panthera	leo	persica	VU	Carnivora	Felidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		1	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Panthera pardus orientalis	Panthera	pardus	orientalis	CR	Carnivora	Felidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		1	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Phacochoerus africanus	Phacochoerus	africanus		LC	Cetartiodactyla	Suidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		1	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Capra hircus	Capra	hircus		NA	Cetartiodactyla	Bovidae	Worldwide	Europe	yes			IV	Flaviviridae	tick born encephalitis		3	<=5	0	domestic	2013	2013	2013			Sirmarova et al, 2014	2014	2	SF	ok	2022
Rangifer tarandus	Rangifer	tarandus		VU	Cetartiodactyla	Cervidae	"North America; Europe; Asia"	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		1	<=5	1	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Redunca fulvorufula	Redunca	fulvorufula		EN	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		1	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Tragelaphus angasii	Tragelaphus	angasii		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		2	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Tragelaphus eurycerus	Tragelaphus	euryceros		NT	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		1	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Tragelaphus imberbis	Tragelaphus	imberbis		NT	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		2	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Tragelaphus strepsiceros	Tragelaphus	strepsiceros		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	tick born encephalitis		1	<=5	0	captive	2013	2013	2013	5	not_specified	Sirmarova et al, 2014	2014	2	SF	ok	2022
Macaca arctoides	Macaca	arctoides		VU	Primates	Cercopithecidae	Asia	Europe	no	zoo	no	I	Polyomaviridae	simian virus 40		10	<=10	6	captive	2007	2007	2007	10	anesthetized	Verschoor et al, 2008	2008	3	SF	ok	2022
Equus asinus	Equus	asinus		NA	Perissodactyla	Equidae	Europe	Europe	yes			IV	Flaviviridae	tick born encephalitis		2	<=5	1	domestic	2013	2013	2013			Sirmarova et al, 2014	2014	2	SF	ok	2022
Macaca fascicularis	Macaca	fascicularis		VU	Primates	Cercopithecidae	Asia	Europe	no	zoo	no	I	Polyomaviridae	simian virus 40		660	>50	296	captive	2007	2007	2007	10	anesthetized	Verschoor et al, 2008	2008	3	SF	ok	2022
Macaca fuscata	Macaca	fuscata		LC	Primates	Cercopithecidae	Asia	Europe	no	zoo	no	I	Polyomaviridae	simian virus 40		23	<=50	11	captive	2007	2007	2007	10	anesthetized	Verschoor et al, 2008	2008	3	SF	ok	2022
Macaca mulatta	Macaca	mulatta		LC	Primates	Cercopithecidae	Asia	Europe	no	zoo	no	I	Polyomaviridae	simian virus 40		566	>50	423	captive	2007	2007	2007	10	anesthetized	Verschoor et al, 2008	2008	3	SF	ok	2022
Macaca nemestrina	Macaca	nemestrina		VU	Primates	Cercopithecidae	Asia	Europe	no	zoo	no	I	Polyomaviridae	simian virus 40		5	<=5	3	captive	2007	2007	2007	10	anesthetized	Verschoor et al, 2008	2008	3	SF	ok	2022
Macaca nigra	Macaca	nigra		CR	Primates	Cercopithecidae	Asia	Europe	no	zoo	no	I	Polyomaviridae	simian virus 40		18	<=50	0	captive	2007	2007	2007	10	anesthetized	Verschoor et al, 2008	2008	3	SF	ok	2022
Macaca thibetana	Macaca	thibetana		NT	Primates	Cercopithecidae	Asia	Europe	no	zoo	no	I	Polyomaviridae	simian virus 40		2	<=5	2	captive	2007	2007	2007	10	anesthetized	Verschoor et al, 2008	2008	3	SF	ok	2022
Macaca tonkeana	Macaca	tonkeana		VU	Primates	Cercopithecidae	Asia	Europe	no	zoo	no	I	Polyomaviridae	simian virus 40		84	>50	35	captive	2007	2007	2007	10	anesthetized	Verschoor et al, 2008	2008	3	SF	ok	2022
Gazella dorcas	Gazella	dorcas		VU	Cetartiodactyla	Bovidae	Africa	Africa	yes	zoo	no	V	Paramyxoviridae	peste des petites ruminants virus		4	<=5	0	captive	2017	2017	2017	1	not_specified	Asil et al, 2019	2019	2	PVL	ok	2023
Ammotragus lervia	Ammotragus	lervia		VU	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		3	<=5	0	captive	2013-2014	2013	2014	1	not_specified	Cano-Terriza et al, 2015	2015	3	PVL	ok	2023
Cervus elaphus	Cervus	elaphus		LC	Cetartiodactyla	Cervidae	"Europe; Asia; Africa"	Europe	yes	zoo	no	IV	Flaviviridae	flaviviruses		7	<=10	0	captive	2013-2014	2013	2014	1	not_specified	Cano-Terriza et al, 2015	2015	3	PVL	ok	2023
Connochaetes gnou	Connochaetes	gnou		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	1	captive	2013-2014	2013	2014	1	not_specified	Cano-Terriza et al, 2015	2015	3	PVL	ok	2023
Dama dama	Dama	dama		LC	Cetartiodactyla	Cervidae	Europe	Europe	yes	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2013-2014	2013	2014	1	not_specified	Cano-Terriza et al, 2015	2015	3	PVL	ok	2023
Equus quagga burchellii	Equus	quagga	burchellii	EW	Perissodactyla	Equidae	Europe	Europe	yes	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2013-2014	2013	2014	1	not_specified	Cano-Terriza et al, 2015	2015	3	PVL	ok	2023
Ovis aries musimon	Ovis	aries	musimon	NT	Cetartiodactyla	Bovidae	Europe	Europe	yes	zoo	no	IV	Flaviviridae	flaviviruses		5	<=5	0	captive	2013-2014	2013	2014	1	not_specified	Cano-Terriza et al, 2015	2015	3	PVL	ok	2023
Pecari tajacu	Pecari	tajacu		LC	Cetartiodactyla	Tayassuidae	"North America; South America"	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		3	<=5	0	captive	2013-2014	2013	2014	1	not_specified	Cano-Terriza et al, 2015	2015	3	PVL	ok	2023
Panthera leo	Panthera	leo		VU	Carnivora	Felidae	Africa	Asia	no	zoo	no	V	Paramyxoviridae	canine distemper virus		20	<=50	12	captive	2000	2000	2000	2	anesthetized	Endo et al, 2004	2004	2	PVL	ok	2023
Panthera leo	Panthera	leo		VU	Carnivora	Felidae	Africa	Asia	no	zoo	no	VI	Retroviridae	feline leukemia virus		20	<=50	8	captive	2000	2000	2000	2	anesthetized	Endo et al, 2004	2004	2	PVL	ok	2023
Lama glama guanaco	Lama	glama	guanaco	NA	Cetartiodactyla	Camelidae	South America	Europe	no			IV	Flaviviridae	tick born encephalitis		1	<=5	0	domestic	2013	2013	2013			Sirmarova et al, 2014	2014	2	SF	ok	2022
Panthera leo	Panthera	leo		VU	Carnivora	Felidae	Africa	Asia	no	zoo	no	VI	Retroviridae	feline immunodeficiency virus		20	<=50	0	captive	2000	2000	2000	2	anesthetized	Endo et al, 2004	2004	2	PVL	ok	2023
Cacajao rubicundus	Cacajao	rubicundus		VU	Primates	Pitheciidae	South America	North America	no	zoo	no	VI	Retroviridae	simian foamy virus		2	<=5	2	captive	NA	NA	NA	4	not_specified	Ghersi et al, 2015	2015	4	PVL	ok	2023
Callicebus moloch	Callicebus	moloch		LC	Primates	Pitheciidae	South America	North America	no	zoo	no	VI	Retroviridae	simian foamy virus		5	<=5	0	captive	NA	NA	NA	4	not_specified	Ghersi et al, 2015	2015	4	PVL	ok	2023
Alouatta seniculus	Alouatta	seniculus		LC	Primates	Atelidae	South America	South America	yes	zoo	no	VI	Retroviridae	simian foamy virus		3	<=5	3	captive	NA	NA	NA	4	not_specified	Ghersi et al, 2015	2015	4	PVL	ok	2023
Callimico goeldii	Callimico	goeldii		VU	Primates	Callitrichidae	South America	North America	no	zoo	no	VI	Retroviridae	simian foamy virus		31	<=50	0	captive	NA	NA	NA	4	not_specified	Ghersi et al, 2015	2015	4	PVL	ok	2023
Callithrix geoffroyi	Callithrix	geoffroyi		LC	Primates	Callitrichidae	South America	North America	no	zoo	no	VI	Retroviridae	simian foamy virus		4	<=5	2	captive	NA	NA	NA	4	not_specified	Ghersi et al, 2015	2015	4	PVL	ok	2023
Aotus nancymae	Aotus	nancymae		VU	Primates	Aotidae	South America	South America	yes	zoo	no	VI	Retroviridae	simian foamy virus		1	<=5	0	captive	NA	NA	NA	4	not_specified	Ghersi et al, 2015	2015	4	PVL	ok	2023
Aotus nigriceps	Aotus	nigriceps		LC	Primates	Aotidae	South America	South America	yes	zoo	no	VI	Retroviridae	simian foamy virus		2	<=5	0	captive	NA	NA	NA	4	not_specified	Ghersi et al, 2015	2015	4	PVL	ok	2023
Ovis aries cameroon	Ovis	aries	cameroon	NA	Cetartiodactyla	Bovidae	Africa	Europe	no			IV	Flaviviridae	tick born encephalitis		1	<=5	0	domestic	2013	2013	2013			Sirmarova et al, 2014	2014	2	SF	ok	2022
Ovis orientalis aries	Ovis	orientalis	aries	NT	Cetartiodactyla	Bovidae	Europe	Europe	yes			IV	Flaviviridae	tick born encephalitis		1	<=5	0	domestic	2013	2013	2013			Sirmarova et al, 2014	2014	2	SF	ok	2022
Ovis orientalis aries	Ovis	orientalis	aries	NT	Cetartiodactyla	Bovidae	Europe	Europe	yes			IV	Flaviviridae	tick born encephalitis		1	<=5	0	domestic	2013	2013	2013			Sirmarova et al, 2014	2014	2	SF	ok	2022
Ovis orientalis aries	Ovis	orientalis	aries	NT	Cetartiodactyla	Bovidae	Europe	Europe	yes			IV	Flaviviridae	tick born encephalitis		1	<=5	0	domestic	2013	2013	2013			Sirmarova et al, 2014	2014	2	SF	ok	2022
Ovis orientalis aries	Ovis	orientalis	aries	NT	Cetartiodactyla	Bovidae	Europe	Europe	yes			IV	Flaviviridae	tick born encephalitis		1	<=5	0	domestic	2013	2013	2013			Sirmarova et al, 2014	2014	2	SF	ok	2022
Cebus albifrons	Cebus	albifrons		LC	Primates	Cebidae	South America	North America	no	zoo	no	VI	Retroviridae	simian foamy virus		3	<=5	2	captive	NA	NA	NA	4	not_specified	Ghersi et al, 2015	2015	4	PVL	ok	2023
Aotus species	Aotus			NA	Primates	Aotidae	South America	South America	yes	zoo	no	VI	Retroviridae	simian foamy virus		3	<=5	0	captive	NA	NA	NA	4	not_specified	Ghersi et al, 2015	2015	4	PVL	ok	2023
Ateles belzebuth	Ateles	belzebuth		EN	Primates	Atelidae	South America	South America	yes	zoo	no	VI	Retroviridae	simian foamy virus		3	<=5	0	captive	NA	NA	NA	4	not_specified	Ghersi et al, 2015	2015	4	PVL	ok	2023
Leontopithecus rosalia	Leontopithecus	rosalia		EN	Primates	Callitrichidae	South America	North America	no	zoo	no	VI	Retroviridae	simian foamy virus		2	<=5	1	captive	NA	NA	NA	4	not_specified	Ghersi et al, 2015	2015	4	PVL	ok	2023
Pithecia pithecia	Pithecia	pithecia		LC	Primates	Pitheciidae	South America	North America	no	zoo	no	VI	Retroviridae	simian foamy virus		12	<=50	7	captive	NA	NA	NA	4	not_specified	Ghersi et al, 2015	2015	4	PVL	ok	2023
Saguinus bicolor	Saguinus	bicolor		LC	Primates	Callitrichidae	South America	North America	no	zoo	no	VI	Retroviridae	simian foamy virus		1	<=5	0	captive	NA	NA	NA	4	not_specified	Ghersi et al, 2015	2015	4	PVL	ok	2023
Saguinus imperator	Saguinus	imperator		LC	Primates	Callitrichidae	South America	North America	no	zoo	no	VI	Retroviridae	simian foamy virus		1	<=5	0	captive	NA	NA	NA	4	not_specified	Ghersi et al, 2015	2015	4	PVL	ok	2023
Ateles paniscus chamek	Ateles	paniscus	chamek	EN	Primates	Atelidae	South America	South America	yes	zoo	no	VI	Retroviridae	simian foamy virus		6	<=10	5	captive	NA	NA	NA	4	not_specified	Ghersi et al, 2015	2015	4	PVL	ok	2023
Saguinus labiatus	Saguinus	labiatus		LC	Primates	Callitrichidae	South America	North America	no	zoo	no	VI	Retroviridae	simian foamy virus		1	<=5	0	captive	NA	NA	NA	4	not_specified	Ghersi et al, 2015	2015	4	PVL	ok	2023
Ateles paniscus	Ateles	paniscus		VU	Primates	Atelidae	South America	South America	yes	zoo	no	VI	Retroviridae	simian foamy virus		1	<=5	0	captive	NA	NA	NA	4	not_specified	Ghersi et al, 2015	2015	4	PVL	ok	2023
Saguinus midas	Saguinus	midas		LC	Primates	Callitrichidae	South America	North America	no	zoo	no	VI	Retroviridae	simian foamy virus		2	<=5	0	captive	NA	NA	NA	4	not_specified	Ghersi et al, 2015	2015	4	PVL	ok	2023
Ateles species	Ateles			NA	Primates	Atelidae	South America	South America	yes	zoo	no	VI	Retroviridae	simian foamy virus		2	<=5	0	captive	NA	NA	NA	4	not_specified	Ghersi et al, 2015	2015	4	PVL	ok	2023
Saguinus mystax	Saguinus	mystax		LC	Primates	Callitrichidae	South America	North America	no	zoo	no	VI	Retroviridae	simian foamy virus		30	<=50	0	captive	NA	NA	NA	4	not_specified	Ghersi et al, 2015	2015	4	PVL	ok	2023
Callicebus discolor	Callicebus	discolor		LC	Primates	Pitheciidae	South America	South America	yes	zoo	no	VI	Retroviridae	simian foamy virus		1	<=5	0	captive	NA	NA	NA	4	not_specified	Ghersi et al, 2015	2015	4	PVL	ok	2023
Saguinus oedipus	Saguinus	oedipus		CR	Primates	Callitrichidae	South America	North America	no	zoo	no	VI	Retroviridae	simian foamy virus		17	<=50	1	captive	NA	NA	NA	4	not_specified	Ghersi et al, 2015	2015	4	PVL	ok	2023
Callicebus oenanthe	Callicebus	oenanthe		CR	Primates	Pitheciidae	South America	South America	yes	zoo	no	VI	Retroviridae	simian foamy virus		1	<=5	0	captive	NA	NA	NA	4	not_specified	Ghersi et al, 2015	2015	4	PVL	ok	2023
Callicebus species	Callicebus			NA	Primates	Pitheciidae	South America	South America	yes	zoo	no	VI	Retroviridae	simian foamy virus		1	<=5	0	captive	NA	NA	NA	4	not_specified	Ghersi et al, 2015	2015	4	PVL	ok	2023
