host_genus_species	host_genus	host_sp	host_subsp	host_status_2021	host_order	host_fam	host_continent	zoo_loc2	same_continent	zoo_type	vaccine	v_class	v_fam	v_sp	v_strain	sample_size	sample_size_class	positive_sample	host_pop	collection_year_range	collection_firstyear	collection_lastyear	number_faciliti	blodd_collection	paper_ID	pub_year	paper_per_year	reviewer	issue	search
Antidorcas marsupialis	Antidorcas	marsupialis		LC	Cetartiodactyla	Bovidae	Africa	Europe	no			I	Herpesviridae	equine herpesvirus	9	20	<=50	1	wild		2012	2014			Abdelgawad et al, 2016	2016	1	PVL	ok	2022
Antidorcas marsupialis	Antidorcas	marsupialis		LC	Cetartiodactyla	Bovidae	Africa	Europe	no			I	Herpesviridae	equine herpesvirus	1	20	<=50	0	wild		2012	2014			Abdelgawad et al, 2016	2016	1	PVL	ok	2022
Callithrix jacchus	Callithrix	jacchus		LC	Primates	Callitrichidae	South America	South America	yes	research_facility	no	VI	Retroviridae	simian foamy virus		1	<=5	0	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
Cebus olivaceus	Cebus	olivaceus		LC	Primates	Cebidae	South America	South America	yes	zoo	no	VI	Retroviridae	simian foamy virus		1	<=5	0	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
Connochaetes gnou	Connochaetes	gnou		LC	Cetartiodactyla	Bovidae	Africa	Europe	no			I	Herpesviridae	equine herpesvirus	1	22	<=50	0	wild	2002-2014	2012	2014			Abdelgawad et al, 2016	2016	1	PVL	ok	2022
Connochaetes gnou	Connochaetes	gnou		LC	Cetartiodactyla	Bovidae	Africa	Europe	no			I	Herpesviridae	equine herpesvirus	9	22	<=50	0	wild	2002-2014	2012	2014			Abdelgawad et al, 2016	2016	1	PVL	ok	2022
Diceros bicornis	Diceros	bicornis		CR	Perissodactyla	Rhinocerotidae	Africa	Europe	no			I	Herpesviridae	equine herpesvirus	9	17	<=50	11	wild		2012	2014			Abdelgawad et al, 2016	2016	1	PVL	ok	2022
Diceros bicornis	Diceros	bicornis		CR	Perissodactyla	Rhinocerotidae	Africa	Europe	no			I	Herpesviridae	equine herpesvirus	1	17	<=50	7	wild		2012	2014			Abdelgawad et al, 2016	2016	1	PVL	ok	2022
Leontopithecus chrysomelas	Leontopithecus	chrysomelas		EN	Primates	Callitrichidae	South America	South America	yes	research_facility	no	VI	Retroviridae	simian foamy virus		16	<=50	4	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
Leontopithecus chrysopygus	Leontopithecus	chrysopygus		EN	Primates	Callitrichidae	South America	South America	yes	research_facility	no	VI	Retroviridae	simian foamy virus		10	<=10	0	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
