host_genus_species	host_genus	host_sp	host_subsp	host_status_2021	host_order	host_fam	host_continent	zoo_loc2	same_continent	v_class	v_fam	v_sp	v_strain	seroprevalence	sample_size	sample_size_class	positive_sample	host_pop	collection_year_range	collection_firstyear	collection_lastyear	paper_ID	pub_year	paper_per_year	reviewer
Panthero leo persica	Panthera	leo	persica	VU	Carnivora	Felidae	Asia	Asia	yes	II	Parvoviridae	feline parvovirus		100	56	>50	56	captive	1998-1999	1998	1999	Ramanathan et al, 2007	2007	2	BP
Elephas maximus	Elephas	maximus		EN	Proboscidea	Elephantidae	Asia	Asia	yes	I	Herpesviridae	elephant endotheliotropic herpesvirus		97.2	36	<=50	35	captive	2014	2014	2014	Hoornweg et al, 2021	2021	3	IBZ
Elephas maximus	Elephas	maximus		EN	Proboscidea	Elephantidae	Asia	Europe	no	I	Herpesviridae	elephant endotheliotropic herpesvirus		97.56	41	<=50	40	captive	2012	2012	2012	Hoornweg et al, 2021	2021	3	IBZ
Loxodonta africana	Loxodonta	africana		EN	Proboscidea	Elephantidae	Africa	Europe	no	I	Herpesviridae	elephant endotheliotropic herpesvirus		100	5	<=5	5	captive	2012	2012	2012	Hoornweg et al, 2021	2021	3	IBZ
Elephas maximus	Elephas	maximus		EN	Proboscidea	Elephantidae	Asia	Asia	yes	I	Herpesviridae	elephant endotheliotropic herpesvirus		48.35	91	>50	44	captive	2000-2020	2000	2020	Prompiram et al, 2021	2021	6	IBZ
Ceratotherium simum	Ceratotherium	simum		NT	Perissodactyla	Rhinocerotidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	14.0625	64	>50	9	captive	NA	2002	2013	Abdelgawad et al, 2015	2015	1	JV
Ceratotherium simum	Ceratotherium	simum		NT	Perissodactyla	Rhinocerotidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	40.625	64	>50	26	captive	NA	2002	2013	Abdelgawad et al, 2015	2015	1	JV
Diceros bicornis	Diceros	bicornis		CR	Perissodactyla	Rhinocerotidae	Africa	Africa	yes	I	Herpesviridae	equine herpesvirus	1	5.882352941	17	<=50	1	wild	NA	2010	2010	Abdelgawad et al, 2015	2015	1	JV
Diceros bicornis	Diceros	bicornis		CR	Perissodactyla	Rhinocerotidae	Africa	Africa	yes	I	Herpesviridae	equine herpesvirus	9	11.76470588	17	<=50	2	wild	NA	2010	2010	Abdelgawad et al, 2015	2015	1	JV
Diceros bicornis	Diceros	bicornis		CR	Perissodactyla	Rhinocerotidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	0	6	<=10	0	captive	NA	2002	2013	Abdelgawad et al, 2015	2015	1	JV
Diceros bicornis	Diceros	bicornis		CR	Perissodactyla	Rhinocerotidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	0	6	<=10	0	captive	NA	2002	2013	Abdelgawad et al, 2015	2015	1	JV
Equus africanus asinus	Equus	africanus	asinus	CR	Perissodactyla	Equidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	33.33333333	12	<=50	4	domestic	NA	1994	2004	Abdelgawad et al, 2015	2015	1	JV
Equus africanus asinus	Equus	africanus	asinus	CR	Perissodactyla	Equidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	25	12	<=50	3	domestic	NA	1994	2004	Abdelgawad et al, 2015	2015	1	JV
Equus africanus somalicus	Equus	africanus	somalicus	CR	Perissodactyla	Equidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	68.42105263	19	<=50	13	captive	NA	1994	2004	Abdelgawad et al, 2015	2015	1	JV
Equus africanus somalicus	Equus	africanus	somalicus	CR	Perissodactyla	Equidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	57.89473684	19	<=50	11	captive	NA	1994	2004	Abdelgawad et al, 2015	2015	1	JV
Equus ferus caballus	Equus	ferus	caballus	EN	Perissodactyla	Equidae	"Europe; Asia; Africa; Northern America; South America; Oceania"	Europe	yes	I	Herpesviridae	equine herpesvirus	1	0	4	<=5	0	captive	NA	1985	2014	Abdelgawad et al, 2015	2015	1	JV
Equus ferus caballus	Equus	ferus	caballus	EN	Perissodactyla	Equidae	"Europe; Asia; Africa; Northern America; South America; Oceania"	Europe	yes	I	Herpesviridae	equine herpesvirus	9	0	4	<=5	0	captive	NA	1985	2014	Abdelgawad et al, 2015	2015	1	JV
Equus grevyi	Equus	grevyi		EN	Perissodactyla	Equidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	52.94117647	17	<=50	9	captive	NA	1994	2004	Abdelgawad et al, 2015	2015	1	JV
Equus grevyi	Equus	grevyi		EN	Perissodactyla	Equidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	52.94117647	17	<=50	9	captive	NA	1994	2004	Abdelgawad et al, 2015	2015	1	JV
